排名,学校名称,省市,总分,人才培养得分,科学研究得分,社会服务得分,生源质量,培养结果,人才培养得分,科研规模,科研质量,顶尖成果,顶尖人才,科学研究得分
1,清华大学,北京,94.1,44.7,37.9,11.5,100,97.90%,44.7,35134,1.193,970,104,37.9
2,北京大学,北京,81,43.7,34.1,3.2,97.8,95.96%,43.7,33049,1.253,792,84,34.1
3,浙江大学,浙江,79.9,41.1,32,6.8,88.7,96.46%,41.1,38367,1.015,685,78,32
4,上海交通大学,上海,78.4,41.9,30.4,6,91.2,96.76%,41.9,37740,1.012,613,71,30.4
5,复旦大学,上海,71.7,42.4,27.2,2.1,92.8,97.04%,42.4,23479,1.264,612,57,27.2
6,中国科学技术大学,安徽,64.9,40.8,23.5,0.6,90.4,91.30%,40.8,16862,1.358,524,39,23.5
7,南京大学,江苏,64,40.2,22.3,1.6,86.3,95.05%,40.2,18986,1.244,480,34,22.3
8,哈尔滨工业大学,黑龙江,63.2,38.9,19,5.3,82.5,94.32%,38.9,24950,0.865,402,21,19
9,华中科技大学,湖北,60.6,37.5,20.1,3,79,92.07%,37.5,22007,0.964,398,33,20.1
9,东南大学,江苏,60.6,37.9,17.2,5.5,78.8,95.14%,37.9,16582,0.986,357,20,17.2
11,中山大学,广东,60.5,37.4,21.8,1.3,79,91.17%,37.4,21594,1.114,376,43,21.8
12,北京航空航天大学,北京,59.2,40.6,12.7,5.9,86.2,98.26%,40.6,14977,0.779,198,11,12.7
13,同济大学,上海,58.8,40.4,15.7,2.7,86.1,96.99%,40.4,17848,0.832,208,29,15.7
14,武汉大学,湖北,57.9,39.1,15.9,3,82.5,95.31%,39.1,17445,0.927,262,19,15.9
14,四川大学,四川,57.9,36,16.5,5.3,71.9,96.54%,36,23959,0.802,235,20,16.5
16,南开大学,天津,57.4,40,16.6,0.8,85,96.46%,40,9948,1.333,280,14,16.6
17,西安交通大学,陕西,57.1,39.4,15.1,2.7,82.8,97.09%,39.4,18489,0.883,243,13,15.1
18,大连理工大学,辽宁,56.6,36.2,17.5,2.8,74.1,93.27%,36.2,17870,0.925,325,28,17.5
19,天津大学,天津,56,39.4,13.6,3.1,81.7,99.01%,39.4,14455,0.872,187,15,13.6
20,山东大学,山东,55.9,36.7,17.3,1.9,75.2,93.91%,36.7,20051,1.009,275,19,17.3
21,吉林大学,吉林,55,35.2,16.3,3.5,71.4,91.97%,35.2,20714,0.859,282,17,16.3
22,华南理工大学,广东,54.4,36.4,16.1,2,72,98.30%,36.4,14370,1.026,275,20,16.1
23,厦门大学,福建,54,38.2,14.7,1.1,79.3,96.40%,38.2,9761,1.159,221,14,14.7
24,北京师范大学,北京,53.6,39.7,13.4,0.5,83.3,98.08%,39.7,9058,1.116,181,10,13.4
25,北京理工大学,北京,52.2,38,11.4,2.7,78.4,96.79%,38,11405,0.78,175,9,11.4
26,中国人民大学,北京,51.3,41.5,9.7,0.07,90.2,96.44%,41.5,2186,1.15,43,2,9.7
27,华东理工大学,上海,50.6,35.3,13.5,1.8,70.1,95.17%,35.3,9469,1.076,209,10,13.5
28,中南大学,湖南,50.5,35.7,13.1,1.7,72.1,93.92%,35.7,18735,0.707,161,14,13.1
28,重庆大学,重庆,50.5,35.3,12.1,3.2,70.1,94.99%,35.3,15097,0.752,185,7,12.1
30,东北大学,辽宁,50.3,34.2,9.6,6.5,66.5,95.00%,34.2,10281,0.646,129,9,9.6
31,华东师范大学,上海,50,37,12.7,0.4,75.7,95.25%,37,6826,1.149,143,10,12.7
32,南京航空航天大学,江苏,49.8,36,11.1,2.8,72.4,95.04%,36,10496,0.755,159,12,11.1
32,中国石油大学,北京,49.8,33.9,7.8,8.1,66,94.15%,33.9,9580,0.575,71,3,7.8
34,苏州大学,江苏,49.5,32.5,14.6,2.4,61,94.64%,32.5,10234,1.142,215,14,14.6
35,湖南大学,湖南,49,35.4,12.8,0.8,71.3,93.44%,35.4,10089,0.924,200,14,12.8
35,电子科技大学,四川,49,35.6,11.4,2,71.1,95.49%,35.6,9815,0.843,160,10,11.4
35,中国农业大学,北京,49,36.2,12.1,0.7,72.4,96.51%,36.2,10095,0.967,111,12,12.1
38,西北工业大学,陕西,48.6,36.8,8.7,3.2,74.3,96.48%,36.8,11963,0.579,64,7,8.7
39,上海大学,上海,48,34,11.5,2.5,64.1,98.55%,34,8897,0.942,162,6,11.5
39,北京科技大学,北京,48,36.1,9.3,2.5,72.1,96.64%,36.1,10480,0.685,96,6,9.3
41,中国地质大学,湖北,47.6,32.7,11.9,3.1,63.4,90.92%,32.7,8441,0.975,156,9,11.9
42,南京理工大学,江苏,47.5,35.1,9.5,2.9,69.8,94.43%,35.1,7973,0.769,114,6,9.5
43,北京邮电大学,北京,47.4,38.3,7.8,1.3,78.1,99.54%,38.3,5540,0.721,88,1,7.8
44,北京交通大学,北京,47.2,37,8.3,1.9,74.2,98.18%,37,8107,0.672,98,2,8.3
45,北京化工大学,北京,46.7,34.1,10.8,1.8,64.7,97.85%,34.1,6548,0.971,117,8,10.8
46,西安电子科技大学,陕西,46.5,35.6,9.9,1,70.1,97.15%,35.6,9169,0.736,136,7,9.9
46,华北电力大学,北京,46.5,36,8.8,1.7,71.1,97.50%,36,5756,0.864,76,2,8.8
